a_name,a_description,a_generation
Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,3
Natural Cure,The Pokémon's status conditions are cured when it switches out.,3
Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted..",3
Serene Grace,Raises the likelihood of additional effects occurring when the Pokémon uses its moves.,3
Swift Swim,Boosts the Pokémon's Speed stat in rain.,3
Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,3
Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,3
Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",3
Huge Power,Doubles the Pokémon's Attack stat.,3
Poison Point,Contact with the Pokémon may poison the attacker.,3
Inner Focus,The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.,3
Magma Armor,The Pokémon's hot magma coating prevents it from being frozen.,3
Water Veil,The Pokémon's water veil prevents it from being burned.,3
Magnet Pull,Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.,3
Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,3
Rain Dish,The Pokémon gradually regains HP in rain.,3
Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,3
Pressure,"Puts other Pokémon under pressure, causing them to expend more PP to use their moves.",3
Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",3
Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,3
Flame Body,Contact with the Pokémon may burn the attacker.,3
Run Away,Enables a sure getaway from wild Pokémon.,3
Keen Eye,The Pokémon's keen eyes prevent its accuracy from being lowered.,3
Hyper Cutter,"The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat.",3
Pickup,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.",3
Truant,"Each time the Pokémon uses a move, it spends the next turn loafing around.",3
Hustle,Boosts the Pokémon's Attack stat but lowers its accuracy.,3
Cute Charm,The Pokémon may infatuate attackers that make direct contact with it.,3
Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,3
Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,3
Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.",3
Sticky Hold,The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.,3
Shed Skin,The Pokémon may cure its own status conditions by shedding its skin.,3
Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,3
Marvel Scale,The Pokémon's marvelous scales boost its Defense stat if it has a status condition.,3
Liquid Ooze,The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves.,3
Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,3
Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,3
Torrent,Powers up Water-type moves when the Pokémon's HP is low.,3
Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,3
Rock Head,Protects the Pokémon from recoil damage.,3
Drought,Turns the sunlight harsh when the Pokémon enters a battle.,3
Arena Trap,Prevents opposing Pokémon from fleeing from battle.,3
Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",3
White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",3
Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.",3
Shell Armor,A hard shell protects the Pokémon from critical hits.,3
Air Lock,Eliminates the effects of weather.,3
Tangled Feet,Boosts the Pokémon's evasiveness if it is confused.,4
Motor Drive,"The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.",4
Rivalry,"The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.",4
Steadfast,The Pokémon's determination boosts its Speed stat every time it flinches.,4
Snow Cloak,Boosts the Pokémon's evasiveness in snow.,4
Gluttony,"If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.",4
Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",4
Unburden,Boosts the Speed stat if the Pokémon's held item is used or lost.,4
Heatproof,The Pokémon's heatproof body halves the damage taken from Fire-type moves.,4
Simple,Doubles the effects of the Pokémon's stat changes.,4
Dry Skin,"Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",4
Download,The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,4
Iron Fist,Powers up punching moves.,4
Poison Heal,"If poisoned, the Pokémon has its HP restored instead of taking damage.",4
Adaptability,Powers up moves of the same type as the Pokémon.,4
Skill Link,Maximizes the number of times multistrike moves hit.,4
Hydration,Cures the Pokémon's status conditions in rain.,4
Solar Power,"In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.",4
Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,4
Normalize,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,4
Sniper,"If the Pokémon's attack lands a critical hit, the attack is powered up even further.",4
Magic Guard,The Pokémon only takes damage from attacks.,4
No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,4
Stall,The Pokémon is always the last to use its moves.,4
Technician,Powers up weak moves so the Pokémon can deal more damage with them.,4
Leaf Guard,Prevents status conditions in harsh sunlight.,4
Klutz,The Pokémon can't use any held items.,4
Mold Breaker,The Pokémon's moves are unimpeded by the Ability of the target.,4
Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,4
Aftermath,Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.,4
Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,4
Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",4
Unaware,"When attacking, the Pokémon ignores the target's stat changes.",4
Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,4
Filter,Reduces the power of supereffective attacks that hit the Pokémon.,4
Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.",4
Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.,4
Storm Drain,"The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted..",4
Ice Body,The Pokémon gradually regains HP in snow.,4
Solid Rock,Reduces the power of supereffective attacks that hit the Pokémon.,4
Snow Warning,The Pokémon makes it snow when it enters a battle.,4
Honey Gather,The Pokémon may gather Honey after a battle.,4
Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",4
Reckless,Powers up moves that have recoil damage.,4
Multitype,Changes the Pokémon's type to match the plate it holds.,4
Flower Gift,Boosts the Attack and Sp. Def stats of the Pokémon and its allies in harsh sunlight.,4
Bad Dreams,Damages opposing Pokémon that are asleep.,4
Pickpocket,The Pokémon steals the held item from attackers that make direct contact with it.,5
Sheer Force,"Removes any additional effects from the Pokémon's moves, but increases the moves' power.",5
Contrary,Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them— and attempts to lower its stats will boost them.,5
Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,5
Defiant,"If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply.",5
Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP drops to half or less.,5
Cursed Body,May disable a move that has dealt damage to the Pokémon.,5
Healer,Sometimes cures the status conditions of the Pokémon's allies.,5
Friend Guard,Reduces damage dealt to allies.,5
Weak Armor,"The Pokémon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted.",5
Heavy Metal,Doubles the Pokémon's weight.,5
Light Metal,Halves the Pokémon's weight.,5
Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.,5
Toxic Boost,Powers up physical moves when the Pokémon is poisoned.,5
Flare Boost,Powers up special moves when the Pokémon is burned.,5
Harvest,May create another Berry after one is used.,5
Telepathy,The Pokémon anticipates and dodges the attacks of its allies.,5
Moody,"Every turn, one of the Pokémon's stats will be boosted sharply but another stat will be lowered.",5
Overcoat,The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.,5
Poison Touch,May poison a target when the Pokémon makes contact.,5
Regenerator,The Pokémon has a little of its HP restored when withdrawn from battle.,5
Big Pecks,Prevents the Pokémon from having its Defense stat lowered.,5
Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,5
Wonder Skin,Makes status moves more likely to miss the Pokémon.,5
Analytic,Boosts the power of the Pokémon's move if it is the last to act that turn.,5
Illusion,The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer's party.,5
Imposter,The Pokémon transforms itself into the Pokémon it's facing.,5
Infiltrator,"The Pokémon's moves are unaffected by the target's barriers, substitutes, and the like.",5
Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.,5
Moxie,"When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat.",5
Justified,"When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice.",5
Rattled,"The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat.",5
Magic Bounce,The Pokémon reflects status moves instead of getting hit by them.,5
Sap Sipper,"The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted.",5
Prankster,Gives priority to the Pokémon's status moves.,5
Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",5
Iron Barbs,The Pokémon's iron barbs damage the attacker if it makes direct contact.,5
Zen Mode,Changes the Pokémon's shape when its HP drops to half or less.,5
Victory Star,Boosts the accuracy of the Pokémon and its allies.,5
Turboblaze,The Pokémon's moves are unimpeded by the Ability of the target.,5
Teravolt,The Pokémon's moves are unimpeded by the Ability of the target.,5
Aroma Veil,Protects the Pokémon and its allies from effects that prevent the use of moves.,6
Flower Veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.,6
Cheek Pouch,"The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect.",6
Protean,Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.,6
Fur Coat,Halves the damage from physical moves.,6
Magician,The Pokémon steals the held item from any target it hits with a move.,6
Bulletproof,Protects the Pokémon from ball and bomb moves.,6
Competitive,Boosts the Pokémon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.,6
Strong Jaw,The Pokémon's strong jaw boosts the power of its biting moves.,6
Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,6
Sweet Veil,Prevents the Pokémon and its allies from falling asleep.,6
Stance Change,The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King's Shield.,6
Gale Wings,Gives priority to the Pokémon's Flying-type moves while its HP is full.,6
Mega Launcher,Powers up pulse moves.,6
Grass Pelt,Boosts the Pokémon's Defense stat on Grassy Terrain.,6
Symbiosis,The Pokémon passes its held item to an ally that has used up an item.,6
Tough Claws,Powers up moves that make direct contact.,6
Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,6
Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,6
Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,6
Parental Bond,The parent and child attack one after the other.,6
Dark Aura,Powers up the Dark-type moves of all Pokémon on the field.,6
Fairy Aura,Powers up the Fairy-type moves of all Pokémon on the field.,6
Aura Break,The effects of Aura Abilities are reversed to lower the power of affected moves.,6
Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.,6
Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.,6
Delta Stream,The Pokémon changes the weather so that no moves are supereffective against the Flying type.,6
Stamina,Boosts the Defense stat when the Pokémon is hit by an attack.,7
Wimp Out,The Pokémon cowardly switches out when its HP drops to half or less.,7
Emergency Exit,"The Pokémon, sensing danger, switches out when its HP drops to half or less.",7
Water Compaction,Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move.,7
Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,7
Shields Down,"When its HP drops to half or less, the Pokémon's shell breaks and it becomes aggressive.",7
Stakeout,Doubles the damage dealt to a target that has just switched into battle.,7
Water Bubble,Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned.,7
Steelworker,Powers up Steel-type moves.,7
Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.,7
Slush Rush,Boosts the Pokémon's Speed stat in snow.,7
Long Reach,The Pokémon uses its moves without making contact with the target.,7
Liquid Voice,Sound-based moves become Water-type moves.,7
Triage,Gives priority to the Pokémon's healing moves.,7
Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,7
Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,7
Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.",7
Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack.",7
Battle Bond,"When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted.",7
Power Construct,"Cells gather to aid the Pokémon when its HP drops to half or less, causing it to change into its Complete Forme.",7
Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.,7
Comatose,The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state.,7
Queenly Majesty,The Pokémon's majesty pressures opponents and makes them unable to use priority moves against the Pokémon or its allies.,7
Innards Out,"When the Pokémon is knocked out, it damages its attacker by the amount equal to the HP it had left before it was hit.",7
Dancer,"Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself.",7
Battery,Powers up ally Pokémon's special moves.,7
Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",7
Dazzling,"The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies.",7
Soul-Heart,Boosts the Pokémon's Sp. Atk stat every time another Pokémon faints.,7
Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,7
Receiver,The Pokémon copies the Ability of a defeated ally.,7
Power of Alchemy,The Pokémon copies the Ability of a defeated ally.,7
Beast Boost,Boosts the Pokémon's most proficient stat every time it knocks out a target.,7
RKS System,Changes the Pokémon's type to match the memory disc it holds.,7
Electric Surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.,7
Psychic Surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.,7
Misty Surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.,7
Grassy Surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.,7
Full Metal Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,7
Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.,7
Prism Armor,Reduces the power of supereffective attacks that hit the Pokémon.,7
Neuroforce,Powers up the Pokémon's supereffective attacks even further.,7
